sample_id,study_area,var_baseline,var_ENSO,var_year_to_year,var_combined,var_spatial,var_temporal
27,SA1,2.7294528390246634e-4,2.7296099521272504e-4,2.7288708656231377e-4,2.7290265543395033e-4,2.7294528390246634e-4,-4.2628468516008825e-8
28,SA1,3.1495577782597654e-4,3.151729683338735e-4,3.1495466881603515e-4,3.1517412593239915e-4,3.1495577782597654e-4,2.183481064226109e-7
29,SA1,2.8113508577177554e-4,2.8116930381742576e-4,2.8118929681878797e-4,2.812242293829456e-4,2.8113508577177554e-4,8.914361117003979e-8
30,SA1,2.776985540263056e-4,2.7770190502305546e-4,2.777028792926553e-4,2.777064499854096e-4,2.776985540263056e-4,7.895959104001898e-9
31,SA1,3.30815514726821e-4,3.3105981436352066e-4,3.310161633780107e-4,3.312618874264577e-4,3.30815514726821e-4,4.463726996366984e-7
32,SA1,2.675732382235489e-4,2.676649720652759e-4,2.6760240429994024e-4,2.6769498399154923e-4,2.675732382235489e-4,1.2174576800031344e-7
33,SA1,2.659082062406196e-4,2.65967786727195e-4,2.661030706789354e-4,2.6616231690510715e-4,2.659082062406196e-4,2.541106644875441e-7
34,SA1,2.937389795830908e-4,2.9403782694268477e-4,2.9398742546738154e-4,2.942888084418509e-4,2.937389795830908e-4,5.498288587601347e-7
35,SA1,2.888878791100388e-4,2.889270011476473e-4,2.8896065581157534e-4,2.890000307253443e-4,2.888878791100388e-4,1.1215161530546284e-7
36,SA1,2.994466552868258e-4,2.995470919678811e-4,2.994598262363788e-4,2.995613047465253e-4,2.994466552868258e-4,1.1464945969951335e-7
37,SA1,3.0113043799328984e-4,3.011832549736884e-4,3.01247770074447e-4,3.012997198945198e-4,3.0113043799328984e-4,1.6928190122995727e-7
38,SA1,2.555377104663294e-4,2.55854741977391e-4,2.5615432383200426e-4,2.5647357965973396e-4,2.555377104663294e-4,9.358691934045651e-7
39,SA1,2.7793928920400113e-4,2.779624418381453e-4,2.7785044649927045e-4,2.778732524007214e-4,2.7793928920400113e-4,-6.603680327972551e-8
40,SA1,2.9038450886864994e-4,2.904121010036919e-4,2.9040731548642666e-4,2.9043498106796597e-4,2.9038450886864994e-4,5.047219931602655e-8
41,SA1,3.2150066752078074e-4,3.2181843275569687e-4,3.2179036107688266e-4,3.221042073685588e-4,3.2150066752078074e-4,6.035398477780875e-7
42,SA1,2.9672967014955144e-4,2.9695235359286203e-4,2.9674342941605233e-4,2.9696767625155685e-4,2.9672967014955144e-4,2.3800610200540957e-7
43,SA1,2.8327702960458264e-4,2.8335406210917917e-4,2.832417152258349e-4,2.8331739386231646e-4,2.8327702960458264e-4,4.036425773381843e-8
44,SA1,2.77478204471871e-4,2.774936603748794e-4,2.775137980860497e-4,2.775290494544095e-4,2.77478204471871e-4,5.0844982538503225e-8
