lab_id,study_area,stevenson_age,stevenson_sd,post_mean,post_sd,q025,q975,ci_width,age_diff,exceeds_claimed
DHR-1693,SA1,492.5109912847379,30,522.3640320396663,153.9170177089242,230.9920456990068,823.4302832095137,592.438237510507,29.85304075492843,TRUE
DHR-1694,SA1,555.893679008092,30,565.4562804809908,151.74905926612612,268.3655490557675,849.1690943837278,580.8035453279604,9.562601472898791,TRUE
DHR-1696,SA1,389.2242545719028,30,486.53423515090714,155.112755096182,194.18435256969676,796.9939307563259,602.8095781866291,97.30998057900433,TRUE
DHR-1697,SA1,409.08644696450807,30,495.841327792483,157.81550345004516,203.4899217525882,811.5908720974768,608.1009503448886,86.75488082797494,TRUE
DHR-1698,SA1,434.7975773030522,30,510.1260080648251,152.65260974239368,217.04126159255287,809.6182922763787,592.5770306838258,75.32843076177289,TRUE
DHR-1699,SA1,361.9801577966529,30,457.8885837858252,153.14064747167765,173.7337625368626,770.6850671468356,596.951304609973,95.90842598917226,TRUE
DHR-1700,SA1,481.121888787776,30,512.8565305886091,153.03154445360633,220.07071871369922,819.8939761948144,599.8232574811152,31.73464180083306,TRUE
DHR-1701,SA1,554.9297441403645,30,559.3811923523465,150.20639258112132,267.5329563103814,845.5634582473081,578.0305019369266,4.451448211981983,TRUE
DHR-1702,SA1,565.1736112270396,30,562.9014803265738,151.19690563175322,269.13412157558656,847.5638276221644,578.4297060465778,-2.272130900465754,TRUE
DHR-1705,SA1,493.7717763152206,30,522.9930963503726,150.61169083852735,235.11289779111505,819.9482332454743,584.8353354543592,29.22132003515202,TRUE
DHR-1706,SA1,343.901392362772,30,512.5417202419619,154.11981163741058,219.84967190081053,816.20227219669,596.3526002958795,168.6403278791899,TRUE
DHR-1707,SA1,380.3833439198452,30,481.772351005042,155.44334386046503,196.00377778657733,791.0902212246982,595.0864434381209,101.38900708519685,TRUE
DHR-1709,SA1,361.4191080333792,30,470.8845875075356,153.94695925318544,181.69413766483729,782.4417773301678,600.7476396653306,109.46547947415644,TRUE
DHR-1731,SA1,263.960412091285,30,405.3241793778617,153.8573178160524,140.52883010639934,730.0410556469049,589.5122255405055,141.36376728657672,TRUE
DHR-1732,SA1,306.0291933145509,30,434.8399247731299,153.79831982017643,158.4155015049852,757.8851157733754,599.4696142683903,128.81073145857897,TRUE
DHR-1734,SA1,454.9154276033966,30,479.8262590992265,155.7291387467833,188.27849297370807,799.8601593372367,611.5816663635287,24.910831495829882,TRUE
DHR-1735,SA1,617.0365467905003,30,546.2385173690964,152.6025839940503,249.8925430344599,836.6332923398346,586.7407493053747,-70.79802942140395,TRUE
DHR-1736,SA1,361.27250045021367,30,457.13964709022724,155.8349975110449,173.4743878684354,776.6003309293917,603.1259430609563,95.86714664001357,TRUE
DHR-1737,SA1,346.0734996005627,30,431.8621412794472,152.62640474789117,158.94157263694206,749.0848748723479,590.1433022354058,85.78864167888452,TRUE
DHR-1738,SA1,344.6335999841834,30,466.7066921295464,151.186608800544,187.12023233220614,779.1870479187353,592.0668155865292,122.07309214536303,TRUE
DHR-1741,SA1,315.5411911857425,30,427.769499198607,154.59086103397115,151.43622743643718,751.7022899470389,600.2660625106017,112.22830801286449,TRUE
DHR-1742,SA1,524.565601464411,30,537.1205670475148,153.10505121564822,238.57106925053924,833.0471839869307,594.4761147363914,12.554965583103808,TRUE
DHR-1743,SA1,263.92205206758075,30,412.0516924444989,153.62352907925876,144.6496137285797,738.8301964592877,594.180582730708,148.12964037691813,TRUE
DHR-1744,SA1,476.8608334121389,30,516.6075082401819,154.52860116341455,225.73937624770997,823.5559897483686,597.8166135006586,39.74667482804301,TRUE
DHR-1745,SA1,238.8559290463193,30,382.658837681507,150.2914352068864,131.99783021102365,703.4464138954135,571.4485836843899,143.80290863518772,TRUE
DHR-1751,SA1,632.6265011799674,30,552.3739930683279,150.58353295632588,263.35157097757065,843.0379337524522,579.6863627748816,-80.25250811163949,TRUE
DHR-1753,SA1,344.04264041739657,30,453.3951195224011,153.5033747966924,171.61678734818145,769.6093264308022,597.9925390826207,109.35247910500453,TRUE
DHR-1754,SA1,492.48648909195936,30,503.9048770760433,154.73401332733718,212.52841568071742,814.9373127931716,602.4088971124542,11.41838798408395,TRUE
DHR-1755,SA1,574.9577340882624,30,554.2217664112671,150.93887870539288,264.60631208254426,841.1829141683847,576.5766020858405,-20.7359676769953,TRUE
DHR-1756,SA1,672.0909688842577,30,589.3814726872674,145.85331784911898,298.43919060229,859.1744168814066,560.7352262791167,-82.70949619699024,TRUE
DHR-1757,SA1,634.743345329585,30,563.516271348962,150.92931227247087,268.80848572531414,845.024214570793,576.2157288454789,-71.227073980623,TRUE
DHR-1709,SA1,454.01116519523424,30,473.19191859280795,157.50510147445866,182.39359758172148,792.0203457766817,609.6267481949602,19.18075339757371,TRUE
DHR-1710,SA1,521.4678340497006,30,526.6794599102225,150.9004731498,237.020390343343,825.9537328032225,588.9333424598794,5.211625860521849,TRUE
DHR-1711,SA1,400.9035143117146,30,501.1481520940767,153.645621294426,209.1652116990614,811.3739565544236,602.2087448553622,100.24463778236208,TRUE
DHR-1713,SA1,418.7322638268384,30,498.17967474810865,155.4100170374224,207.66740831801798,806.4148111166742,598.7474027986561,79.44741092127026,TRUE
DHR-1714,SA1,387.93356192333886,30,499.45974547432354,154.2919558920167,210.84446002218985,807.8196489157747,596.9751888935848,111.52618355098468,TRUE
DHR-1715,SA1,420.66638436857465,30,507.06380033582604,152.58525308946062,216.70076489684547,810.9331986452694,594.2324337484239,86.39741596725139,TRUE
DHR-1716,SA1,450.07242250860935,30,507.63988049746035,153.3764600022978,215.46753707503422,807.3707985266258,591.9032614515916,57.567457988851004,TRUE
DHR-1717,SA1,458.5911209018434,30,511.57276599178385,155.78798635164728,218.80242270259163,821.8874348904066,603.085012187815,52.98164508994046,TRUE
DHR-1718,SA1,355.3786821651311,30,487.4414716290401,155.6999573859729,194.90224646248387,803.07274982163494,608.1705033591511,132.06278946390898,TRUE
DHR-1720,SA1,396.14886531926567,30,493.49461087920133,155.7240723935863,199.4060672211663,807.6290996928177,608.2230324716514,97.34574555993566,TRUE
DHR-1721,SA1,470.45448216620093,30,517.2751379706957,152.05290095044458,229.02428764426085,816.7249668536236,587.7006792093628,46.82065580449478,TRUE
DHR-1722,SA1,392.23267312317626,30,501.4995292005524,153.7018199766994,211.57441472997772,807.8446335009097,596.2702187709319,109.26685607737613,TRUE
