sample,lab_id,study_area,sens_H2Ot,sens_Ea,sens_EHT,sens_RH,var_contrib_H2Ot,var_contrib_Ea,var_contrib_EHT,var_contrib_RH,cov_total,var_taylor,var_actual
100,DHR-1723,SA1,-0.1075048741753335,0.07989890846569217,-60.31050779277732,-861.5273647850366,9.354475758306933e-5,6359.432795138434,9210.258255137009,4563.088275208783,-13196.271683851339,6936.507735177644,24396.603867842943
101,DHR-1724,SA1,-0.11625859046968401,0.08640535442818342,-65.21730012844466,-932.8859663397336,1.117038391457525e-4,7375.256332997347,10771.807382752819,5418.180758482853,-15445.183482804645,8120.061103132211,23306.586888763886
102,DHR-1725,SA1,-0.07735952317911199,0.05749913304939909,-43.40639614906438,-620.0441225700931,4.8402098541821453e-05,3261.5409323366575,4778.300968255574,2414.376890396391,-6839.212508915339,3615.006330475381,24191.739279570163
103,DHR-1726,SA1,-0.09801640977396175,0.07285828240276385,-55.00033112510251,-785.4629028651735,7.900459912443697e-5,5270.287876048189,7552.315876195594,3864.991656679263,-10970.372565852615,5717.222922075029,24204.99163596309
104,DHR-1727,SA1,-0.11470332704442399,0.08525296164966245,-64.3516514846759,-920.1010886776104,1.1089403525197545e-4,7175.896130751052,10452.672633130205,5263.0263278295215,-15111.194863585966,7780.400339018848,23680.158362533202
105,DHR-1590,SA1,-0.15308598827532194,0.11375796322614691,-85.845534346299,-1227.728954819194,1.920320192749516e-4,12595.495179059099,18400.816236530034,9407.02971704657,-26523.977711740477,13879.363612927245,22016.686166315212
106,DHR-1591,SA1,-0.12757204105099618,0.094809291561119,-71.55726775273506,-1020.8610719538301,1.3481852241115327e-4,8821.408109576627,12753.541599834154,6477.742196048648,-18365.300159365615,9687.391880912335,22858.97404205026
107,DHR-1592,SA1,-0.3788200897541856,0.2812517744056495,-211.96775145023733,-3024.3107487574275,0.0011764834487202054,79323.5940886669,116092.12331919892,54745.14641566833,-160610.7151157936,89550.149884224,13450.539576927133
108,DHR-1594,SA1,-0.17271224887186065,0.12833984592612263,-96.84677932036016,-1381.5693375986684,2.5047038407693153e-4,16260.191852025655,23422.974375458238,11751.371979379426,-33582.26547450124,17852.272982832466,21404.379088115915
109,DHR-1596,SA1,-0.15653490470228348,0.11632139162141526,-87.78304699901544,-1254.5660908743896,2.0300983822877164e-4,13366.037306887903,19337.62534206703,9616.268573938303,-27784.216352283183,14535.71507361989,21926.41707641093
110,DHR-1598,SA1,-0.1413052660768841,0.1050097494746405,-79.24651601960915,-1132.7492830561084,1.646643753283447e-4,10859.010896454442,15784.909268112846,8023.5653755265785,-22657.371961089237,12010.113743669004,23023.250957388052
111,DHR-1599,SA1,-0.14014400476224864,0.10414732150904549,-78.59940814889659,-1122.8543938429818,1.604092342512871e-4,10716.121207998222,15504.493329509593,7794.222218899615,-22357.294988073416,11657.541928743245,23633.138894566044
112,DHR-1600,SA1,-0.09411223246759448,0.06994615155752425,-52.79648017087061,-753.6500028828801,7.168265521710684e-5,4804.51571310469,6974.768920468369,3538.628322159023,-10029.174221849242,5288.738805565497,23960.119314141288
113,DHR-1601,SA1,-0.09097066965738776,0.06761726049142122,-51.0445806527134,-728.8656657340438,6.819530924571306e-5,4511.863400332098,6600.5828572012015,3333.440145667794,-9343.48131251466,5102.405158881742,24598.32613474999
114,DHR-1602,SA1,-0.10816874785045627,0.08039526137836542,-60.682744253960976,-866.9590097229566,9.57683715340741e-5,6408.648334333399,9402.244012584239,4702.577265032299,-13400.858639494181,7112.611068224127,24016.114756459818
115,DHR-1603,SA1,-0.12686077196528345,0.09427239086601465,-71.14219014798422,-1017.8984274038427,1.3211623035351853e-4,8814.76488462086,12603.16204159462,6466.294960759644,-18397.13886897447,9487.083150116887,23788.2426860456
116,DHR-1604,SA1,-0.1370964873113394,0.10188747663538303,-76.89677641627398,-1099.086037411143,1.5285929881820307e-4,10257.084334300094,14766.963423608782,7601.7573978361925,-21459.51512511982,11166.290183484547,22236.079761354744
117,DHR-1605,SA1,-0.11801070472978381,0.08771098602764887,-66.20211202512526,-944.3366709556196,1.1301804462849421e-4,7601.443533786519,11007.381652685937,5523.35820489536,-15925.932276252657,8206.251228133206,23315.972600398472
118,DHR-1606,SA1,-0.13222025580510888,0.09825890894757473,-74.16151242096056,-1058.0646860956404,1.4316294766161095e-4,9500.308453613885,13808.455840193048,7030.753760586789,-19875.945800512825,10463.572397043848,22836.309939731833
119,DHR-1607,SA1,-0.10556831099511044,0.07845216070564145,-59.210191154960846,-845.8634872218265,9.211072234208388e-5,6114.037193579761,8864.359232405828,4443.916358217937,-12637.573829899051,6784.739046415198,23737.118323787217
120,DHR-1608,SA1,-0.1349258180988926,0.10026147880800232,-75.65962630616802,-1079.9013914771285,1.4773149217794392e-4,9870.720540556013,14381.831652509587,7226.494848504123,-20504.020664421925,10975.02652487929,23307.407447923575
121,DHR-1609,SA1,-0.12047755149403372,0.08952898934100043,-67.57146054857805,-964.7865048778613,1.2236579788672716e-4,7967.131945397329,11566.60004095987,5799.907533040595,-16613.801008945033,8719.838632818559,22808.134477616517
